t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778386423.69,14.373,-0.0,-0.0,14.373,21211.0,6787520.0,1.0,0.0,21211.0,40.0
1778386424.19,14.143,-0.0,-0.0,14.143,18095.0,5790400.0,1.0,0.0,6954.0,40.0
1778386424.69,13.525,-0.0,-0.0,13.525,11788.0,3772160.0,1.0,0.0,4834.0,40.0
1778386425.19,14.169,-0.0,-0.0,14.169,18421.0,5894720.0,1.0,0.0,13587.0,40.0
1778386425.69,14.735,-0.0,-0.0,14.735,27261.0,8723520.0,1.0,0.0,13674.0,40.0
1778386426.19,14.536,-0.0,-0.0,14.536,23764.0,7604480.0,1.0,0.0,10090.0,40.0
1778386426.69,15.062,-0.0,-0.0,15.062,34206.0,10945920.0,1.0,0.0,24116.0,40.0
1778386427.19,15.931,-0.0,-0.0,15.931,62508.0,20002560.0,1.0,0.0,38392.0,40.0
1778386427.69,16.222,-0.0,-0.0,16.222,76482.0,24474240.0,1.0,0.0,38090.0,40.0
1778386428.19,16.226,-0.0,-0.0,16.226,76678.0,24536960.0,1.0,0.0,38588.0,40.0
1778386428.69,16.229,-0.0,-0.0,16.228,76810.0,24579200.0,1.0,0.0,38222.0,40.0
1778386429.19,16.211,-0.0,-0.0,16.211,75899.0,24287680.0,1.0,0.0,37677.0,40.0
1778386429.69,16.164,-0.0,-0.0,16.164,73432.0,23498240.0,1.0,0.0,35755.0,40.0
1778386430.19,16.149,-0.0,-0.0,16.149,72682.0,23258240.0,1.0,0.0,36927.0,40.0
1778386430.69,16.1,-0.0,-0.0,16.1,70247.0,22479040.0,1.0,0.0,33320.0,40.0
1778386431.19,15.983,-0.0,-0.0,15.983,64759.0,20722880.0,1.0,0.0,31439.0,40.0
1778386431.69,15.838,-0.0,-0.0,15.838,58597.0,18751040.0,1.0,0.0,27158.0,40.0
1778386432.19,15.803,-0.0,-0.0,15.803,57194.0,18302080.0,1.0,0.0,30036.0,40.0
1778386432.69,15.866,-0.0,-0.0,15.866,59734.0,19114880.0,1.0,0.0,29698.0,40.0
1778386433.19,15.804,-0.0,-0.0,15.804,57231.0,18313920.0,1.0,0.0,27533.0,40.0
1778386433.69,15.725,-0.0,-0.0,15.725,54176.0,17336320.0,1.0,0.0,26643.0,40.0
1778386434.19,15.676,-0.0,-0.0,15.676,52346.0,16750720.0,1.0,0.0,25703.0,40.0
1778386434.69,15.633,-0.0,-0.0,15.633,50825.0,16264000.0,1.0,0.0,25122.0,40.0
1778386435.19,15.519,-0.0,-0.0,15.519,46954.0,15025280.0,1.0,0.0,21832.0,40.0
1778386435.69,15.8,-0.0,-0.0,15.8,57082.0,18266240.0,1.0,0.0,35250.0,40.0
1778386436.19,16.011,-0.0,-0.0,16.01,66029.0,21129280.0,1.0,0.0,30779.0,40.0
1778386436.69,14.987,-0.0,-0.0,14.987,32489.0,10396480.0,1.0,0.0,1710.0,40.0
1778386437.19,10.74,-0.0,-0.0,10.74,1710.0,547200.0,1.0,0.0,0.0,40.0
